gen,best_balance,best_engagement,best_coherence,avg_wr,best_wr_spread,time_sec
1,0.9195,0.5670,0.7298,0.7607,0.0000,150.7
2,0.9217,0.5670,0.7365,0.7083,0.0000,0.0
3,0.9217,0.5670,0.7365,0.6900,0.0000,0.0
4,0.8278,0.7500,0.8053,0.7330,0.0000,0.0
5,0.8273,0.7500,0.8086,0.7017,0.0000,0.0
6,0.8273,0.7500,0.8086,0.6675,0.0000,0.0
7,0.8273,0.7500,0.8086,0.7161,0.0000,0.0
8,0.8273,0.7500,0.8086,0.6942,0.0000,0.0
9,0.8258,0.7835,0.8062,0.6592,0.0000,0.0
10,0.9578,0.7835,0.7373,0.7133,0.0000,0.0
11,0.9578,0.7835,0.7373,0.7394,0.0000,0.0
12,0.9578,0.7835,0.7373,0.7050,0.0000,0.0
13,0.9578,0.7835,0.7373,0.6567,0.0000,0.0
14,0.9578,0.7835,0.7373,0.6475,0.0000,0.0
15,0.9567,0.7835,0.7393,0.6417,0.0000,0.0
